product_id,product_name,category,price,stock_status
1,"Cream Large Scallop Dome Lamp Shade 6"" Top x 17"" Bottom x 11"" High x 12"" Slant (Spider) Replacement with Harp and Finial - Springcrest",Lighting & Ceiling Fans,59.99,In Stock
2,"LED Rechargeable Flashlights High Lumens, 250000 Lumen Super Bright Flashlight with ΒATTERY & USB Cable, Powerful Handheld Waterproof flashlights with 4 Modes for Home/Camping/Emergency/Reading",Safety & Security,26.99,In Stock
3,Boy's Vasco Sandal,Boys' Shoes,33.95,In Stock
4,HOSNYE Do You Follow Jesus This Close License Plate Frame Metal License Plate Cover Front Plates Frames Car Tag Frame for Women Men US Vehicles Standard,Automotive Exterior Accessories,11.99,In Stock
5,"Women's Retro Large Size Canvas Shoulder Bag Hobo Crossbody Handbag Casual Tote,",Women's Handbags,11.49,In Stock
6,"Lenovo IdeaPad 1 14.0"" HD Laptop, Intel Pentium Silver N5030, 4GB, 128GB SSD, Windows 10 S, Ice Blue",Computers & Tablets,257,In Stock
7,ARTIBETTER 2Pcs Sanitary Napkin Storage Bag Pouch Period Bags Coin Purse Cosmetics Makeup Bag for Women Girls,Travel Accessories,9.49,In Stock
8,Beard Shaping Tool Beard Shape Template Beard Line up Shaper Grooming Guide Tool Edger for Jaw Cheek Neck Line Symmetric Curve Step Cut Goatee Mustache Great Gift (Pack of 1),Shaving & Hair Removal Products,4.99,Out of Stock
9,"2 Pack H13 True HEPA Replacement Filter, Compatible with TaoTronics TT-AP001 and VAVA VA-EE014, 3-in-1 H13 Grade True HEPA and Activated Carbon Filter",Home Appliances,21.98,In Stock
10,"SuperATV 2"" Rear Receiver Hitch for Can-Am Maverick X3 900 / X3 X / X3 Max (See Fitment) | Includes Cotter & Hitch Pin | 3/16"" Heavy-Duty Steel | Tow up to 1650 Lbs. | Fits Standard 2"" Attachments",RV Parts & Accessories,99.95,In Stock
11,Gator-Grain Calfskin Leather Cuff Watch Band Bracelet FC30,Men's Watches,33.49,In Stock
12,"Home Expressions White Fitted Vinyl Mattress Protector 11.5"" Deep 80""x60"" (Queen)",Bedding,13.99,In Stock
13,"Diamond Painting Kits, 5D Diamond Art Kits for Adults Full Drill Diamond Paintings Kit Crafts for Adults Kids Beginners, DIY Colorful Dragon Diamond Painting Packs Gem Art Home Wall Decor14x14in","Painting, Drawing & Art Supplies",7.99,In Stock
14,"Pill Pouch Set, 7 Mini Zip Pill Organizers, Large Reusable Travel Pill Container, Color-Coded Medicine Bags, Organize Pills & Small Items",Home Use Medical Supplies & Equipment,24.99,In Stock
15,"C. Crane CC Buds PRO Earbuds, Mic & Phone Remote with Six Different Earbud Covers Included for Custom Comfort – Designed for Voice Clarity and Audio Books – Fits Large and Small Ears",Headphones & Earbuds,19.99,In Stock
16,"5"" Hair Bows for Girls 6 Inch Large Hair Bows Clips,Unicorn Hair Bow Holder Organizer for Girls Hair Clips Organizer Storage Unicorn Wall Hanging Home Decor for Girls Room",Baby Care Products,0,Out of Stock
17,"150 Joke Cards for Kids Vol.2 - Lunchbox Notes - Inspirational Motivational Cards for Children - Jokes and Puns for Boys and Girls - Great for Parties, Schools, Bake Sales, Picnics",Party Supplies,14.99,In Stock
18,"𝙐𝙋𝙂𝙍𝘼𝘿𝙀𝘿 MDS47123605 Washer Door Gasket Boot Seal Compatible with LG Kenmore Washer Seal Parts WM3470HVA, WM3770HWA, WM3370HWA, WM3570HWA,WM3575CW,AP5602285 Washer Door Boot Rubber Seal",Home Appliances,0,In Stock
19,Barn Door Floor Guide Black - Adjustable Wall Mount Barn Door Stopper Stay Roller - Interior/Exterior Barn Door Track Hardware - Bottom Sliding Door Guide for Pocket Closet Barn Doors,Commercial Door Products,16.97,In Stock
20,"Hape Sand and Beach Toy Watering Can Toys, Green",Sports & Outdoor Play Toys,6.99,Out of Stock
21,"hand2mind Fake Money Coin Assorted Set, Detailed Fake Coins, Prop Money, Toy Money, Play Money for Kids, Realistic Money, Pretend Money for Kids Learning, Play Money Set, Plastic Coins (Set of 96)",Kids' Dress Up & Pretend Play,11.49,In Stock
22,BEYOND RAW Chemistry Labs Creatine HCl Powder | Improves Muscle Performance | 60 Servings,Diet & Sports Nutrition,29.99,In Stock
23,Girls and Toddler Short Sleeve Woven Button Down Shirt,Girls' Clothing,19.99,In Stock
24,"Girls' Hooded Winter Puffer Jacket, Full-Length Heavy Weight Coat with Fleece Lining, Plum Caspia Sport, 12-14",Girls' Clothing,50,In Stock
25,"Kitsch Satin Pillow Rollers for Hair - Soft Rollers for Hair during Sleep | Softer than Silk Rollers for Hair Styling | Satin Rollers for All Hair Types | Heatless Satin Hair Curler, 6pc (Marble)",Hair Care Products,11.19,In Stock
26,Butt Lifter Padded Shapewear High Waist Hip Enhancer Pads Shorts Women Seamless Underwear Tummy Control Panty,Women's Clothing,19.99,In Stock
27,Men's All-Terrain Boot Crew Socks,Men's Clothing,0,In Stock
28,"Moonybaby Official Battery Split 30 and Split 60, (55933BV-2T, 55812-2T), Also for LeReve LRX-5 and LRX-52, Li-ion 3.7V 3000mAh",Baby Safety Products,25,In Stock
29,"Scotch Duct Tape, 1.88 in x 20 yd, Tangerine Orange, 1 Roll (920-ORG-C)","Industrial Adhesives, Sealants & Lubricants",7.29,In Stock
30,uxcell 17mm External Circlips C-Clip Retaining Shaft Snap Rings 304 Stainless Steel 50pcs,Power Transmission Products,6.49,In Stock
31,SCITOO fit for Ford Towing Mirrors Chrome Rear View Mirrors fit 2008-2016 for Ford for F250 for F350 for F450 for F550 Super Duty Truck Larger Glass Power Heated Turn Signal Manual Extending Folding,RV Parts & Accessories,159.99,Out of Stock
32,"MIKEDE Fishing Magnets, 1080 LBS Pulling Force Strong Magnets Fishing Kit with Heavy Duty Rope Diameter 3.94inch(100mm), Big Neodymium Rare Earth Magnet for Retrieving in River and Magnetic Fishing",Material Handling Products,19.79,Out of Stock
33,T shirt Folding Board T shirt Clothes Folder Laundry Organizer Easy and Fast for Kid and Adult to Fold Clothes Blue,Home Storage & Organization,12.99,Out of Stock
34,Wrangler Backpack Purse for Women Quilted Backpack for Travel Work Casual,Women's Handbags,35.99,In Stock
35,Corsair CMZ16GX3M2A1600C9 Vengeance 16GB (2x8GB) DDR3 1600 MHz (PC3 12800) Desktop Memory 1.5V,Computer Components,79.99,In Stock
36,Setgnur Lash Shampoo for Lash Extensions 60ml Eyelash Extension Cleanser Lash Shampoo Cleaning Kit with Shampoo Brush & Mascara Brush-No Irritating Foaming Eyelash Makeup Remover for Home Salon Use,Makeup,7.59,Out of Stock
37,"30pcs Black Hose Clamps 6-51mm(1/4""-2"") Adjustable Range 304 Stainless Steel Worm Gear Hose Clamps 6 Sizes Assortment Kit for Plumbing, Automotive, Mechanical Applications","Hydraulics, Pneumatics & Plumbing",9.99,Out of Stock
38,"Norforms Feminine Deodorant Suppositories, Long Lasting Odor Control, Tropical Splash Scent, 12 Count Deodorant Suppositories in Each Box (Pack of 3)",Health Care Products,15.11,In Stock
39,"Harper & Bright Designs House Bed Twin Size Wooden Daybed Frame with Drawers and Fence-Shaped Guardrail, Kids Tent Bed. No Box Spring Needed (Gray)",Kids' Furniture,186.99,In Stock
40,Boys' Lido Solid Lycra Short Sleeve Rashguard 50+ Uv Protection,Boys' Clothing,12.3,In Stock
41,3 Packs Daisy Sunglasses Daisy Flower Shape Round Glasses Toddler Kids Girl Daisy Flower Round Anti-UV Sunglasses,Girls' Accessories,11.99,Out of Stock
42,"Slimygloop Mix'Ems Twists Unicorn Milkshake, Metallic Slime, Scented Butter Slime, Add-Ins, Embellishments, Foam Balls, Glitter by Horizon Group USA",Novelty Toys & Amusements,7.99,In Stock
43,SiNG Party with Wii U Microphone (Renewed),"Wii U Games, Consoles & Accessories",0,In Stock
44,"1PC 100mm/ 4"" Dia 3 Spoke Round Silver Iron Hand Wheel for Milling Machine Lathe",Industrial Hardware,17.59,Out of Stock
45,"NATIONAL GEOGRAPHIC Glowing Marble Run – 80 Piece Construction Set with 15 Glow in the Dark Glass Marbles & Storage Bag, STEM Gifts for Boys and Girls, Building Project Toy (Amazon Exclusive)",Toys & Games,34.99,In Stock
46,"HauSun Handheld Shower Head with On/Off Switch - 5 Spray Settings 6.5 Feet Extra Long Hose High Pressure with Bathroom Faucet Kit - Universal Adapter Holder Mount for Wall,Chrome Finish",Bath Products,25.99,In Stock
47,"Freezer Tape 3PCS, Writable Surface,Easy to Tear, Working Under Low Temperature, 3/4 Inch x 11 Yards",Packaging & Shipping Supplies,6.95,In Stock
48,"FACULX Toddler Travel Bed, Inflatable Airplane Bed for Toddler Kids with Safety Belt and Pump, Blow Up Toddler Air Mattress for Car, Airplane Economy Seats, Train","Nursery Furniture, Bedding & Décor",36.99,Out of Stock
49,"Car Windshield Sun Shade Umbrella,Foldable Car Sun Shade Windshield,Keep Vehicle Cool,Fit Sedan SUV Pickup Truck Most Vehicles Car Window Shades Front Windshield Sun Shade for car Windshield",Automotive Interior Accessories,19.99,Out of Stock
50,Initial Charm Bracelets for Women Gifts - Engraved 26 Letters Initial Charms Bracelet Stainless Steel Bangle Bracelet Birthday Christmas Jewelry Gift for Women Teen Girls,Girls' Jewelry,13.99,In Stock
51,"The Great Detective & Trusty Sidekick Friends & Couples’ Halloween Costume Accessory Kits - 2-pack of Classic Book Novel Characters Accessories & Props - Great for Theme Parties, Mysteries, & More",Learning & Education Toys,29.99,In Stock
52,Dymoece Bicycle Computer Mount Co-Polymer Insert Adapter Replacement for Out Front Bike Mount,GPS & Navigation,6.99,In Stock
53,"24PCS Waterproof Soap Labels for Bottles, Bathroom Hand Soap Label Stickers, Shampoo and Conditioner Dispenser Labels for Glass/Plastic Spray Bottle (Black)",Bath Products,6.99,Out of Stock
54,"Drops Daisy 100% Merino Wool Yarn for Knitting and Crocheting, 3 or Light, DK, Leight Worsted Weight, 1.8 oz 120 Yards per Ball 1 * 50g (08 Pistachio ice Cream)",Knitting & Crochet Supplies,7.5,Out of Stock
55,"Blue Video Game Party Supplies - 212Pcs Gamer Gaming Party Decoration For Boys Birthday Party - Table Cover, Plates, Cups, Napkins, Utensils, Hanging Swirls, Birthday Banner, Cupcake, Topper Cake Topper & Balloons Serves 16 Guests",Party Supplies,29.99,In Stock
56,"Fowler 52-104-000-0, Screw Jack Set with 2.25""-3.375"" Range",Material Handling Products,39.57,In Stock
57,"200 Feet Solid Copper Wire Thin Jewelry Wire Pure Bare Copper Wire for Jewelry Making Craft, Electroculture Gardening Plants Supplies (20 Gauge,0.031'' Diameter)",Industrial Materials,19.99,Out of Stock
58,"Simplify Children’s 10 PK Velvet Hangers | Dimensions : 13.78"" W x 8.46"" H | Durable Plastic | Non-Slip | Keeps Shape | 14” Width | Children Sizes 2-16 | Velvet, Ivory",Retail Store Fixtures & Equipment,10.79,In Stock
59,"Brightz TossBrightz White Led Cornhole Lights Led Corn Hole Lights Cornhole Led Lights for Hole and Board Backyard Games Outdoor Games Lawn Games Camping Games for Adults Kids Family, White Lights",Sports & Fitness,24.99,In Stock
60,Kids' Holiday 2 Piece Snug Fit Cotton Pajamas,Boys' Clothing,13.08,In Stock
61,2 Packs HDMI Port Socket Hdmi Replacement for Xbox One S Slim Console HDMI Interface Connector Replacement,"Xbox One Games, Consoles & Accessories",8.99,In Stock
62,"Schleich Wild Life, Realistic Wild Animal Toys for Boys and Girls Ages 3 and Up, Lion Toy Figurine",Toy Figures & Playsets,7.99,In Stock
63,SUNNYCLUE 100Pcs 10 Styles Ocean Theme Resin Cabochon Charms Resin Flatback Charms Mixed Mermaid Tail Starfish Dolphin Whale Flatback Beads for DIY Scrapbooking Jewelry Making Supplies,Beading & Jewelry Making,14.99,In Stock
64,Mercenaries 2: World in Flames - Xbox 360,"Xbox 360 Games, Consoles & Accessories",46.01,In Stock
65,"10pcs 3 Way Air Line Connector Aquarium Fish Tank Airline Tee Valve Pump Tube, White",Fish & Aquatic Pets,6.66,In Stock
66,Tahom Crossbody Bag 2 in 1 Travel Pouch,Backpacks,26,In Stock
67,BAPPEY Fall Decor - Pumpkin Decor - 8PCS Metal Cracked Artificial Pumpkin Set - Glittery Fake Pumpkins for Fall Halloween Thanksgiving Home Table Centerpiece Filler Decor,Home Décor Products,18.99,In Stock
68,Big Country Toys - Fishing Toy Playset - Kids Fishing Set with Toy Boat - 10-Piece Fishing Set,Toy Figures & Playsets,39.99,Out of Stock
69,Blue Feather My Pad for Needles Machine Needle Organizer,"Arts, Crafts & Sewing Storage",11.4,In Stock
70,"2002B Handy-Shield Maxx Ada Soft Cover Under Lavatory Protector, 2-Piece Kit",Pumps & Plumbing Equipment,50.5,In Stock
71,"RESINWORLD Set of 4"", 3"", 2.5"", 2"", 1.7"", 1.3"", 0.9"" Clear Silicone Sphere Molds, Large 3D Seamless Sphere Silicone Molds for Resin Casting, Round Ball Orbs Epoxy Resin Mold for Jewelry, Soap, Candle",Beading & Jewelry Making,16.99,In Stock
72,Plush Infant Snow Girls Shoes Walkers Soft Boots Boys Cotton Baby Warm Baby Shoes Baby Girl Booties,Girls' Shoes,8.99,In Stock
73,GeekShare Protective Case Slim Cover Case Compatible with Nintendo Switch and Joy-Con - Shock-Absorption and Anti-Scratch - Skull,"Nintendo Switch Consoles, Games & Accessories",18.99,Out of Stock
74,"Broan-NuTone FGR101S Replacement Square Bathroom Ventilation Exhaust Fan Grille Cover, White",Building Supplies,12,Out of Stock
75,Birt MFA506027 Mens Memory Foam Casual Mid-Top Sneaker Desert Vegan Leather Chukka Boots,Men's Shoes,59.99,In Stock
